movie_nm,start_date,end_date,days,max_share,avg_share,max_screen_count,max_audience_acc
언차티드,2022-02-16,2022-02-18,3,36.8080517613228,33.21831557714163,1536,157955
외계+인 1부,2022-07-20,2022-07-22,3,36.07734806629834,32.96264199911872,1959,412766
주토피아 2,2025-12-06,2025-12-08,3,35.595105672969964,33.762117342367574,2282,4028185
글래디에이터 Ⅱ,2024-11-17,2024-11-19,3,34.126067882706074,32.29994366650326,1544,531398
마이클,2026-05-18,2026-05-20,3,33.96059331414656,33.3259774105339,1563,778426
프로젝트 헤일메리,2026-03-30,2026-04-01,3,33.22875816993464,31.78875797244886,1281,1274583
마이클,2026-05-13,2026-05-15,3,32.5267304445695,31.950806078782175,1734,264449
이웃사촌,2020-12-07,2020-12-09,3,32.24913494809689,31.17623970214429,932,347523
가디언즈 오브 갤럭시: Volume 3,2023-05-03,2023-05-04,2,35.28953012283096,32.84311642669111,1810,365432
마녀(魔女) Part2. The Other One,2022-06-20,2022-06-21,2,35.26570048309179,35.118368370702726,1630,1686770
존 윅 4,2023-04-12,2023-04-13,2,34.481206392077425,33.71284342070927,1532,227671
고질라 VS. 콩,2021-03-29,2021-03-30,2,34.27551324010711,33.653923238171814,1152,372991
올빼미,2022-11-28,2022-11-29,2,34.189995410738874,33.97811458848632,1490,989649
스즈메의 문단속,2023-03-27,2023-03-28,2,34.12977867203219,34.047212568339326,1357,3074500
분노의 질주: 라이드 오어 다이,2023-05-22,2023-05-23,2,33.66294971596886,33.34043398824414,1640,963809
고질라 VS. 콩,2021-03-25,2021-03-26,2,33.63189829529038,32.80795980010857,1201,80023
히트맨2,2025-01-22,2025-01-23,2,33.58742258218199,31.99716109206402,1410,179685
승부,2025-04-14,2025-04-15,2,33.29493087557604,32.938156471483055,1156,1867260
더 마블스,2023-11-08,2023-11-09,2,32.33431827775433,31.871399496857133,1532,142351
블랙 아담,2022-10-19,2022-10-20,2,32.090831191088256,31.567225624080613,1523,114652
더 배트맨,2022-03-14,2022-03-15,2,32.04837490551776,31.179753811533796,1272,754353
도굴,2020-11-16,2020-11-17,2,32.02516476932295,31.587062754176486,1079,1060213
다만 악에서 구하소서,2020-08-24,2020-08-25,2,31.950729009552536,31.51160348616706,1271,4162960
결백,2020-06-15,2020-06-16,2,31.79955877718248,31.15478849605936,1009,365662
밀수,2023-07-31,2023-08-01,2,31.24888967845088,30.691656001383002,1771,2224264
가디언즈 오브 갤럭시: Volume 3,2023-05-15,2023-05-16,2,31.0677808727948,30.782314611406672,1673,2865319
스즈메의 문단속,2023-04-03,2023-04-04,2,31.05633802816901,30.983356028904545,1323,3859561
더 배트맨,2022-03-10,2022-03-11,2,30.97505668934241,30.733006380846916,1416,643468
가디언즈 오브 갤럭시: Volume 3,2023-05-08,2023-05-09,2,30.818318318318315,30.550265731754777,1642,1830021
모가디슈,2021-08-09,2021-08-10,2,30.6286836935167,30.605367737355976,1571,1859936
남산의 부장들,2020-02-03,2020-02-04,2,30.581961511708787,30.576727829528938,1332,4357111
살목지,2026-04-13,2026-04-14,2,30.47619047619048,30.30642700058346,1312,862317
왕과 사는 남자,2026-04-06,2026-04-07,2,30.13665202537824,30.111203573432334,1263,16161612
스즈메의 문단속,2023-03-14,2023-03-14,1,34.67741935483871,34.67741935483871,1333,1098259
서복,2021-04-15,2021-04-15,1,34.62791280380857,34.62791280380857,1382,46710
검은 수녀들,2025-01-24,2025-01-24,1,32.92393026941363,32.92393026941363,1662,181384
주토피아 2,2025-12-10,2025-12-10,1,32.6484871124393,32.6484871124393,1748,4255809
언차티드,2022-02-22,2022-02-22,1,31.785127844241146,31.785127844241146,1355,416569
하얼빈,2024-12-30,2024-12-30,1,31.25211505922166,31.25211505922166,1847,2542839
아마존 활명수,2024-10-30,2024-10-30,1,30.954374215152782,30.954374215152782,1479,106842
올빼미,2022-12-13,2022-12-13,1,30.757737459978657,30.757737459978657,1441,2651979
도굴,2020-11-13,2020-11-13,1,30.603107716618386,30.603107716618386,1162,787428
스즈메의 문단속,2023-03-25,2023-03-25,1,30.598626104023552,30.598626104023552,1559,2655544
위키드: 포 굿,2025-11-25,2025-11-25,1,30.53582956746288,30.53582956746288,1419,596238
스즈메의 문단속,2023-03-20,2023-03-20,1,30.517647058823528,30.517647058823528,1297,2014036
미키 17,2025-03-14,2025-03-14,1,30.38919136922767,30.38919136922767,1507,2343367
존 윅 4,2023-04-17,2023-04-17,1,30.351715154146763,30.351715154146763,1398,781353
스즈메의 문단속,2023-04-10,2023-04-10,1,30.33405172413793,30.33405172413793,1126,4374866
존 윅 4,2023-04-24,2023-04-24,1,30.151843817787416,30.151843817787416,1390,1268795
테넷,2020-09-11,2020-09-11,1,30.144360166381208,30.144360166381208,1232,1203824
블랙 아담,2022-10-24,2022-10-24,1,30.13609850939728,30.13609850939728,1395,457680
가디언즈 오브 갤럭시: Volume 3,2023-05-11,2023-05-11,1,30.123139128836613,30.123139128836613,1639,2016464
노량: 죽음의 바다,2023-12-26,2023-12-26,1,30.109079242861725,30.109079242861725,1877,2367281
조제,2020-12-22,2020-12-22,1,30.066271363794904,30.066271363794904,862,149400
프로젝트 헤일메리,2026-04-06,2026-04-06,1,30.063445583211323,30.063445583211323,1232,1670488
프로젝트 헤일메리,2026-03-24,2026-03-24,1,30.02358490566038,30.02358490566038,1273,644079
블랙 위도우,2021-07-20,2021-07-20,1,30.00621246634914,30.00621246634914,1449,2243847
