date,year,movie_count,movies,movie_labels,combined_screen_share,threshold,combined_screen_count,best_aud,tier
2022-03-12,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",65.7785336356765,60% 이상,3481,901534,500만미만
2022-03-13,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",64.64937560038425,60% 이상,3365,901534,500만미만
2022-03-14,2022,2,더 배트맨 / 이상한 나라의 수학자,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명)",61.17409926933736,60% 이상,2428,901534,500만미만
2022-03-14,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",72.00806248425296,70% 이상,2858,901534,500만미만
2022-03-15,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",68.61934856587263,60% 이상,2823,901534,500만미만
2022-03-16,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",62.45068461359945,60% 이상,2691,901534,500만미만
2022-03-17,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",63.24684598905023,60% 이상,2657,901534,500만미만
2022-03-18,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",62.734339277549154,60% 이상,2744,901534,500만미만
2022-03-19,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",60.97861842105263,60% 이상,2966,901534,500만미만
2022-03-20,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",61.30179991628296,60% 이상,2929,901534,500만미만
2022-03-21,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",64.05313883823912,60% 이상,2459,901534,500만미만
2022-03-22,2022,3,문폴 / 이상한 나라의 수학자 / 더 배트맨,"문폴 (<5M, 190,606명) / 이상한 나라의 수학자 (<5M, 526,009명) / 더 배트맨 (<5M, 901,534명)",64.25765907305578,60% 이상,2454,901534,500만미만
2022-03-30,2022,3,모비우스 / 뜨거운 피 / 배니싱: 미제사건,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 배니싱: 미제사건 (<5M, 35,644명)",68.71880199667223,60% 이상,2891,475928,500만미만
2022-03-31,2022,3,모비우스 / 뜨거운 피 / 배니싱: 미제사건,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 배니싱: 미제사건 (<5M, 35,644명)",68.18291215403129,60% 이상,2833,475928,500만미만
2022-04-01,2022,3,모비우스 / 뜨거운 피 / 배니싱: 미제사건,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 배니싱: 미제사건 (<5M, 35,644명)",67.25076959507459,60% 이상,2840,475928,500만미만
2022-04-02,2022,3,모비우스 / 뜨거운 피 / 이상한 나라의 수학자,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 이상한 나라의 수학자 (<5M, 526,009명)",64.26904307235307,60% 이상,3029,526009,500만미만
2022-04-03,2022,3,모비우스 / 뜨거운 피 / 이상한 나라의 수학자,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 이상한 나라의 수학자 (<5M, 526,009명)",64.87532244196045,60% 이상,3018,526009,500만미만
2022-04-04,2022,3,모비우스 / 뜨거운 피 / 이상한 나라의 수학자,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 이상한 나라의 수학자 (<5M, 526,009명)",70.72359301358469,70% 이상,2551,526009,500만미만
2022-04-05,2022,3,모비우스 / 뜨거운 피 / 이상한 나라의 수학자,"모비우스 (<5M, 475,928명) / 뜨거운 피 (<5M, 396,773명) / 이상한 나라의 수학자 (<5M, 526,009명)",68.25993555316863,60% 이상,2542,526009,500만미만
2022-04-13,2022,3,신비한 동물들과 덤블도어의 비밀 / 스텔라 / 모비우스,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 스텔라 (<5M, 95,349명) / 모비우스 (<5M, 475,928명)",67.54862053369516,60% 이상,2987,1195322,500만미만
2022-04-14,2022,3,신비한 동물들과 덤블도어의 비밀 / 스텔라 / 모비우스,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 스텔라 (<5M, 95,349명) / 모비우스 (<5M, 475,928명)",67.1604938271605,60% 이상,2992,1195322,500만미만
2022-04-15,2022,3,신비한 동물들과 덤블도어의 비밀 / 모비우스 / 수퍼 소닉2,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 모비우스 (<5M, 475,928명) / 수퍼 소닉2 (<5M, 313,089명)",65.66367904396074,60% 이상,3077,1195322,500만미만
2022-04-16,2022,3,신비한 동물들과 덤블도어의 비밀 / 수퍼 소닉2 / 모비우스,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 수퍼 소닉2 (<5M, 313,089명) / 모비우스 (<5M, 475,928명)",67.53318584070796,60% 이상,3663,1195322,500만미만
2022-04-17,2022,3,신비한 동물들과 덤블도어의 비밀 / 수퍼 소닉2 / 모비우스,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 수퍼 소닉2 (<5M, 313,089명) / 모비우스 (<5M, 475,928명)",67.80551905387648,60% 이상,3612,1195322,500만미만
2022-04-18,2022,3,신비한 동물들과 덤블도어의 비밀 / 모비우스 / 스텔라,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 모비우스 (<5M, 475,928명) / 스텔라 (<5M, 95,349명)",69.44854751354013,60% 이상,2821,1195322,500만미만
2022-04-19,2022,3,신비한 동물들과 덤블도어의 비밀 / 모비우스 / 수퍼 소닉2,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 모비우스 (<5M, 475,928명) / 수퍼 소닉2 (<5M, 313,089명)",66.84466019417475,60% 이상,2754,1195322,500만미만
2022-04-20,2022,2,신비한 동물들과 덤블도어의 비밀 / 앵커,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명)",60.905024993422785,60% 이상,2315,1195322,500만미만
2022-04-20,2022,3,신비한 동물들과 덤블도어의 비밀 / 앵커 / 로스트 시티,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명) / 로스트 시티 (<5M, 112,348명)",82.87292817679558,70% 이상,3150,1195322,500만미만
2022-04-21,2022,3,신비한 동물들과 덤블도어의 비밀 / 앵커 / 로스트 시티,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명) / 로스트 시티 (<5M, 112,348명)",76.2690672668167,70% 이상,3050,1195322,500만미만
2022-04-22,2022,3,신비한 동물들과 덤블도어의 비밀 / 앵커 / 공기살인,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명) / 공기살인 (<5M, 158,265명)",65.0,60% 이상,2795,1195322,500만미만
2022-04-25,2022,3,신비한 동물들과 덤블도어의 비밀 / 앵커 / 공기살인,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명) / 공기살인 (<5M, 158,265명)",66.21585786263591,60% 이상,2497,1195322,500만미만
2022-04-26,2022,3,신비한 동물들과 덤블도어의 비밀 / 앵커 / 공기살인,"신비한 동물들과 덤블도어의 비밀 (<5M, 1,195,322명) / 앵커 (<5M, 169,683명) / 공기살인 (<5M, 158,265명)",67.15063520871144,60% 이상,2590,1195322,500만미만
2022-05-04,2022,2,닥터 스트레인지: 대혼돈의 멀티버스 / 배드 가이즈,"닥터 스트레인지: 대혼돈의 멀티버스 (5M+, 5,882,489명) / 배드 가이즈 (<5M, 420,224명)",70.82362904933305,70% 이상,3345,5882489,500만+
2022-05-04,2022,3,닥터 스트레인지: 대혼돈의 멀티버스 / 배드 가이즈 / 니 부모 얼굴이 보고 싶다,"닥터 스트레인지: 대혼돈의 멀티버스 (5M+, 5,882,489명) / 배드 가이즈 (<5M, 420,224명) / 니 부모 얼굴이 보고 싶다 (<5M, 416,053명)",82.72284564895193,70% 이상,3907,5882489,500만+
2022-05-05,2022,2,닥터 스트레인지: 대혼돈의 멀티버스 / 배드 가이즈,"닥터 스트레인지: 대혼돈의 멀티버스 (5M+, 5,882,489명) / 배드 가이즈 (<5M, 420,224명)",60.84674597620714,60% 이상,3478,5882489,500만+
2022-05-05,2022,3,닥터 스트레인지: 대혼돈의 멀티버스 / 배드 가이즈 / 극장판 엉덩이 탐정: 수플레 섬의 비밀,"닥터 스트레인지: 대혼돈의 멀티버스 (5M+, 5,882,489명) / 배드 가이즈 (<5M, 420,224명) / 극장판 엉덩이 탐정: 수플레 섬의 비밀 (<5M, 151,304명)",74.31770468859342,70% 이상,4248,5882489,500만+
