date,year,quarter,rank,movie_cd,movie_nm,screen_count,show_count,audience_cnt,audience_acc,screen_share
2020-01-11,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,671,1874,55967,1833388,11.319163292847504
2020-01-11,2020,2020Q1,5,20196272,미드웨이,576,1319,43954,846044,9.7165991902834
2020-01-11,2020,2020Q1,6,20198414,시동,632,1535,42477,3214107,10.6612685560054
2020-01-11,2020,2020Q1,7,20197803,겨울왕국 2,425,652,17190,13667458,7.1693657219973
2020-01-11,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,320,416,12840,853132,5.398110661268556
2020-01-11,2020,2020Q1,9,20192401,포드 V 페라리,129,200,7703,1317284,2.1761133603238867
2020-01-11,2020,2020Q1,10,20198430,나이브스 아웃,111,175,7493,746897,1.8724696356275303
2020-01-12,2020,2020Q1,1,20199581,닥터 두리틀,1290,5940,280696,929622,21.856997627922738
2020-01-12,2020,2020Q1,2,20192206,백두산,865,3210,99296,7996424,14.65604879701796
2020-01-12,2020,2020Q1,3,20195462,스타워즈: 라이즈 오브 스카이워커,881,3201,98001,381509,14.927143341240257
2020-01-12,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,682,1846,52985,1886373,11.555404947475433
2020-01-12,2020,2020Q1,5,20196272,미드웨이,570,1288,38196,884240,9.657743137919349
2020-01-12,2020,2020Q1,6,20198414,시동,628,1484,37239,3251346,10.640460860725177
2020-01-12,2020,2020Q1,7,20197803,겨울왕국 2,425,660,17190,13684648,7.200948830904778
2020-01-12,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,316,416,14029,867161,5.354117248390376
2020-01-12,2020,2020Q1,9,20192401,포드 V 페라리,129,188,6568,1323852,2.185699762792274
2020-01-12,2020,2020Q1,10,20198430,나이브스 아웃,116,175,6194,753091,1.965435445611657
2020-01-13,2020,2020Q1,1,20199581,닥터 두리틀,1155,5226,80766,1010388,21.548507462686565
2020-01-13,2020,2020Q1,2,20192206,백두산,801,3040,34217,8030641,14.944029850746269
2020-01-13,2020,2020Q1,3,20195462,스타워즈: 라이즈 오브 스카이워커,784,2734,21428,402937,14.626865671641792
2020-01-13,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,653,1802,17194,1903567,12.182835820895523
2020-01-13,2020,2020Q1,5,20198414,시동,571,1477,14667,3266013,10.652985074626866
2020-01-13,2020,2020Q1,6,20196272,미드웨이,535,1302,13416,897656,9.981343283582088
2020-01-13,2020,2020Q1,7,20197803,겨울왕국 2,380,587,6083,13690731,7.08955223880597
2020-01-13,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,241,284,2938,870099,4.496268656716418
2020-01-13,2020,2020Q1,9,20198430,나이브스 아웃,114,183,2628,755719,2.126865671641791
2020-01-13,2020,2020Q1,10,20192401,포드 V 페라리,126,193,2165,1326017,2.3507462686567164
2020-01-14,2020,2020Q1,1,20199581,닥터 두리틀,1160,5215,77440,1087828,21.82502351834431
2020-01-14,2020,2020Q1,2,20192206,백두산,819,3013,32512,8063153,15.409219190968956
2020-01-14,2020,2020Q1,3,20195462,스타워즈: 라이즈 오브 스카이워커,780,2677,18614,421551,14.675446848541862
