quarter,movie_nm,movie_cd,screen_count,show_count,audience_acc_max,active_days,quarter_screen_share,quarter_rank,audience_tier
2022Q4,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,20226777,23723,38547,827170,52,4.957919441907513,6,500만미만
2022Q4,자백,20198429,23314,77412,732280,29,4.872441675531414,7,500만미만
2022Q4,블랙 아담,20226886,22205,76618,777888,27,4.640669443474954,8,500만미만
2022Q4,정직한 후보2,20219628,19288,58188,897345,29,4.031039505775497,9,500만미만
2022Q4,데시벨,20217905,17451,53610,895908,29,3.6471210294114575,10,500만미만
2023Q1,더 퍼스트 슬램덩크,20228555,69993,208514,4330205,87,14.502323711805865,1,500만미만
2023Q1,아바타: 물의 길,20225061,49495,127821,10779111,59,10.255204264938369,2,1000만+
2023Q1,영웅,20196478,35141,85364,3235712,52,7.281101789558527,3,500만미만
2023Q1,스즈메의 문단속,20226270,32667,125677,3288582,28,6.768496973891135,4,500만+
2023Q1,앤트맨과 와스프: 퀀텀매니아,20230209,28059,103412,1544233,27,5.813734245275396,5,500만미만
2023Q1,교섭,20190808,24945,90631,1709074,29,5.168523495078041,6,500만미만
2023Q1,장화신은 고양이: 끝내주는 모험,20224109,18868,39828,823213,33,3.909388707361494,7,500만미만
2023Q1,유령,20214823,17998,45257,653094,29,3.729127515109824,8,500만미만
2023Q1,대외비,20208962,15941,52186,747662,22,3.302923753659613,9,500만미만
2023Q1,서치 2,20239573,13295,35653,403997,24,2.754681093087294,10,500만미만
2023Q2,범죄도시3,20226411,53225,268886,9969400,38,11.240475426177161,1,1000만+
2023Q2,가디언즈 오브 갤럭시: Volume 3,20231496,49201,153390,4204834,55,10.390655358259137,2,500만미만
2023Q2,스즈메의 문단속,20226270,43772,115675,5535427,71,9.244116305394584,3,500만+
2023Q2,존 윅 4,20231089,35941,88867,1916688,44,7.590303941610772,4,500만미만
2023Q2,슈퍼 마리오 브라더스,20227890,31658,94046,2387766,47,6.685786210275559,5,500만미만
2023Q2,분노의 질주: 라이드 오어 다이,20231592,28179,92619,1771324,32,5.9510635422122355,6,500만미만
2023Q2,드림,20198482,20801,61274,1121631,36,4.392919292436095,7,500만미만
2023Q2,리바운드,20226489,20212,56163,687466,37,4.268529625437159,8,500만미만
2023Q2,엘리멘탈,20228930,18084,62630,1692554,19,3.819121796279714,9,500만+
2023Q2,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,20231348,15719,28091,727223,37,3.319662437277197,10,500만미만
2023Q3,엘리멘탈,20228930,60960,181727,7205607,76,11.800415027720135,1,500만+
2023Q3,밀수,20218541,48798,165124,5123219,56,9.446139313036205,2,500만+
2023Q3,콘크리트 유토피아,20204264,44873,150500,3845091,51,8.68635209217332,3,500만미만
2023Q3,오펜하이머,20226431,44108,130228,3202310,47,8.538266175240809,4,500만미만
2023Q3,미션 임파서블: 데드 레코닝 PART ONE,20232631,42233,136799,4015548,46,8.175310496484652,5,500만미만
2023Q3,달짝지근해: 7510,20226500,31555,85911,1377749,44,6.108302103013597,6,500만미만
2023Q3,잠,20224667,24428,99696,1417547,28,4.728683371016198,7,500만미만
2023Q3,비공식작전,20193879,14720,44005,1054518,32,2.8494440486883263,8,500만미만
2023Q3,범죄도시3,20226411,14402,42016,10675973,23,2.7878867655712827,9,1000만+
2023Q3,타겟,20233014,14215,41731,419065,21,2.7516879858766687,10,500만미만
2023Q4,서울의 봄,20212866,79005,292279,11854779,43,16.09040196982935,1,1000만+
2023Q4,30일,20228819,40659,129377,2163199,53,8.280737341830157,2,500만미만
2023Q4,그대들은 어떻게 살 것인가,20234664,35962,117910,1996953,46,7.324131835187686,3,500만미만
2023Q4,노량: 죽음의 바다,20203702,23237,81633,3438133,16,4.73251908832257,4,500만미만
2023Q4,천박사 퇴마 연구소: 설경의 비밀,20227410,20107,69060,1909031,25,4.095053634673232,5,500만미만
2023Q4,더 마블스,20235034,19479,66561,686000,22,3.967153217774899,6,500만미만
2023Q4,1947 보스톤,20197122,16423,40993,1012420,33,3.344758832358805,7,500만미만
2023Q4,소년들,20200622,15786,42199,462096,24,3.215025447702375,8,500만미만
2023Q4,프레디의 피자가게,20235030,15169,34215,709645,29,3.0893653247306045,9,500만미만
2023Q4,싱글 인 서울,20202247,13452,32156,390229,26,2.7396758091025175,10,500만미만
2024Q1,파묘,20234675,73860,284415,10957291,40,14.6227311603155,1,1000만+
2024Q1,웡카,20236180,47701,151113,3526209,58,9.443797712946244,2,500만미만
2024Q1,서울의 봄,20212866,31916,80623,13119454,41,6.318698723431214,3,1000만+
2024Q1,시민덕희,20206946,30949,95944,1700015,39,6.127253001362096,4,500만미만
2024Q1,듄: 파트2,20236295,29492,75763,1886023,34,5.838797554563021,5,500만미만
2024Q1,위시,20235834,29315,87544,1391091,35,5.8037552662422,6,500만미만
2024Q1,외계+인 2부,20235253,28889,96975,1417030,30,5.719416199436155,7,500만미만
2024Q1,노량: 죽음의 바다,20203702,28730,72225,4560367,31,5.687937533656435,8,500만미만
2024Q1,건국전쟁,20247074,22217,47463,1169975,46,4.398500110868256,9,500만미만
2024Q1,인투 더 월드,20235583,13947,25880,334938,27,2.7612135322626625,10,500만미만
2024Q2,범죄도시4,20228797,83773,374538,11495435,72,17.41197157483637,1,1000만+
2024Q2,인사이드 아웃 2,20235974,38869,191537,5638833,19,8.0788072904434,2,500만+
2024Q2,쿵푸팬더4,20236614,32509,102794,1766417,38,6.756900002702011,3,500만미만
2024Q2,퓨리오사: 매드맥스 사가,20236653,32376,92938,1598438,41,6.729256344011822,4,500만미만
2024Q2,파묘,20234675,29105,79203,11902097,44,6.04938861787942,5,1000만+
2024Q2,그녀가 죽었다,20203557,27836,75238,1230657,45,5.785630701504605,6,500만미만
2024Q2,혹성탈출: 새로운 시대,20247783,20796,52739,901098,29,4.322387414444955,7,500만미만
2024Q2,극장판 하이큐!! 쓰레기장의 결전,20249507,17424,40029,698951,36,3.621527135472634,8,500만미만
2024Q2,댓글부대,20231041,16495,43127,970344,24,3.42843721875695,9,500만미만
2024Q2,남은 인생 10년,20231677,14375,24920,557775,52,2.9878014561764874,10,500만미만
2024Q3,파일럿,20224666,52555,200978,4702206,58,10.211219031668282,1,500만미만
2024Q3,베테랑2,20239670,42798,200560,6489383,21,8.315474305343718,2,500만+
2024Q3,인사이드 아웃 2,20235974,42209,137420,8760451,51,8.201034042577996,3,500만+
2024Q3,에이리언: 로물루스,20249188,36509,107537,1998630,48,7.093547628716151,4,500만미만
2024Q3,탈주,20212932,35251,120078,2554562,42,6.849123434218221,5,500만미만
2024Q3,데드풀과 울버린,20247781,26611,93220,1962077,28,5.1704071858381635,6,500만미만
2024Q3,핸섬가이즈,20208245,25064,74662,1767644,37,4.869831487198817,7,500만미만
2024Q3,사랑의 하츄핑,20249733,25058,48842,1146486,48,4.86866571202633,8,500만미만
2024Q3,슈퍼배드 4,20247440,24628,70993,1539379,32,4.78511849133149,9,500만미만
2024Q3,빅토리,20231042,17512,34344,503486,35,3.402509136762914,10,500만미만
2024Q4,모아나 2,20240737,39458,126582,3372815,36,7.997389467881131,1,500만미만
2024Q4,위키드,20247693,38718,95247,2059163,42,7.847405479685277,2,500만미만
2024Q4,소방관,20200142,34003,119776,3317296,31,6.891764257599527,3,500만미만
2024Q4,베놈: 라스트 댄스,20240941,33536,118250,1759962,37,6.797112200184034,4,500만미만
2024Q4,대도시의 사랑법,20232949,30076,74712,875383,47,6.095835714835848,5,500만미만
2024Q4,베테랑2,20239670,25356,76805,7514196,30,5.139181087424451,6,500만+
2024Q4,글래디에이터 Ⅱ,20242248,22818,62566,901333,30,4.6247765441256945,7,500만미만
2024Q4,히든페이스,20225184,22307,56355,1005171,35,4.521206519844504,8,500만미만
2024Q4,청설,20233261,21664,61881,795135,34,4.390882594966214,9,500만미만
2024Q4,와일드 로봇,20248492,21575,45537,679109,40,4.372843980169685,10,500만미만
2025Q1,미키 17,20244821,43676,149965,2966824,32,9.275044701825024,1,500만미만
2025Q1,하얼빈,20228796,37796,124620,4900863,42,8.026366644156484,2,500만미만
2025Q1,히트맨2,20233006,35454,117175,2535747,35,7.529019023227961,3,500만미만
2025Q1,캡틴 아메리카: 브레이브 뉴 월드,20242404,33277,118635,1652658,32,7.066710837591156,4,500만미만
2025Q1,검은 수녀들,20247450,24751,82778,1657383,29,5.256127653971773,5,500만미만
2025Q1,퇴마록,20240614,23265,45928,490404,36,4.940560376132411,6,500만미만
2025Q1,말할 수 없는 비밀,20223819,22567,62586,811097,32,4.792332946837744,7,500만미만
2025Q1,소방관,20200142,16647,41321,3836189,25,3.5351604806136363,8,500만미만
2025Q1,뽀로로 극장판 바닷속 대모험,20246361,15163,23062,405269,36,3.2200179232020525,9,500만미만
2025Q1,서브스턴스,20244762,13443,19421,552214,51,2.8547583553126152,10,500만미만
2025Q2,야당,20232394,53425,182847,3370806,53,11.690960376561621,1,500만미만
