movie_nm,threshold,tier,start_date,end_date,days,max_share,avg_share
극장판 귀멸의 칼날: 무한성편,40% 이상,500만+,2025-08-22,2025-08-22,1,42.579210672595885,42.579210672595885
극장판 귀멸의 칼날: 무한성편,40% 이상,500만+,2025-08-25,2025-08-25,1,40.22804560912183,40.22804560912183
어쩔수가없다,40% 이상,500만미만,2025-09-24,2025-09-24,1,40.46707503828484,40.46707503828484
주토피아 2,40% 이상,500만+,2025-11-29,2025-11-30,2,43.35091868291796,42.944987084321255
아바타: 불과 재,50% 이상,500만+,2025-12-17,2025-12-18,2,51.47527910685805,50.90142752245821
아바타: 불과 재,40% 이상,500만+,2025-12-19,2025-12-23,5,48.74927283304247,46.31563033184638
왕과 사는 남자,40% 이상,1000만+,2026-02-28,2026-02-28,1,40.219208619728775,40.219208619728775
왕과 사는 남자,40% 이상,1000만+,2026-03-03,2026-03-03,1,41.07713372889092,41.07713372889092
왕과 사는 남자,40% 이상,1000만+,2026-03-07,2026-03-12,6,45.77514792899408,43.2966371188435
왕과 사는 남자,50% 이상,1000만+,2026-03-13,2026-03-16,4,51.76991150442478,50.809609612404266
왕과 사는 남자,40% 이상,1000만+,2026-03-17,2026-03-17,1,48.617283950617285,48.617283950617285
군체,40% 이상,500만미만,2026-05-21,2026-05-22,2,41.60135564499047,40.81253084501598
