date,movie_nm,movie_cd,rank,scrn_cnt,show_cnt,screen_audi_cnt,SS_screen_share_pct,open_date,seat_sales_rate_pct,seat_share_pct_from_kobis,seat_share_pct,seat_share_recalc_vs_kobis_gap_p,audience_share_pct,seats_cnt,audi_cnt,audi_acc,total_seats_cnt,total_audi_cnt,screen_share,seat_share,audience_share,seat_sales_rate,SOI_seat_overallocation,ScOI_screen_overallocation,StEI_seat_efficiency,ScEI_screen_efficiency,MII,MII_pct,screen_minus_audience_share_p,seat_minus_audience_share_p,has_seat_data,over_30_period_start,over_30_period_end,is_in_peak_over_30_period
2024-05-05,범죄도시4,20228797,1,2778.0,15002.0,851693.0,46.04674291397315,2024-04-24,39.2,72.17,74.83254577621892,2.66254577621892,80.84644080989491,2171966.0,851693.0,7962932.0,2902435.0,1053470.0,0.4604674291397315,0.7483254577621892,0.8084644080989491,0.392,0.9256133606695528,0.569558071483308,1.0803646992267255,1.755747218884435,0.27996419691695673,27.996419691695674,-34.79969789592177,-6.013895033675993,True,2024-04-24,2024-05-14,True
2024-05-06,범죄도시4,20228797,1,2745.0,14402.0,606796.0,47.1244635193133,2024-04-24,29.0,73.64,76.46191471964624,2.8219147196462444,79.99841795098284,2091881.0,606796.0,8569728.0,2735847.0,758510.0,0.47124463519313303,0.7646191471964624,0.7999841795098284,0.29,0.9557928353845259,0.589067443161035,1.0462518267336551,1.6975984865736795,0.3345836909871244,33.458369098712446,-32.87395443166954,-3.536503231336596,True,2024-04-24,2024-05-14,True
2024-05-07,범죄도시4,20228797,1,2575.0,12939.0,148747.0,55.19828510182207,2024-04-24,8.0,77.03,80.25810463252706,3.2281046325270637,85.2086293020485,1866395.0,148747.0,8718475.0,2325491.0,174568.0,0.5519828510182208,0.8025810463252706,0.8520862930204849,0.08,0.9419011347785826,0.6478015848154837,1.0616825514655261,1.5436825463846844,0.5078242229367631,50.78242229367631,-30.01034420022642,-4.950524669521428,True,2024-04-24,2024-05-14,True
2024-05-08,범죄도시4,20228797,1,2022.0,9738.0,124517.0,40.815502624142106,2024-04-24,9.1,58.03,63.31834022973011,5.28834022973011,66.7669374514062,1371543.0,124517.0,8842992.0,2166107.0,186495.0,0.4081550262414211,0.6331834022973011,0.667669374514062,0.091,0.9483487283779336,0.6113130867182298,1.0544644286183746,1.6358229878054715,0.3710129188534518,37.10129188534518,-25.9514348272641,-3.4485972216760956,True,2024-04-24,2024-05-14,True
2024-05-09,범죄도시4,20228797,1,2004.0,9578.0,117161.0,42.4306584797798,2024-04-24,8.7,57.4,62.472263712834305,5.072263712834307,68.59503164501379,1345507.0,117161.0,8960153.0,2153767.0,170801.0,0.42430658479779804,0.6247226371283431,0.6859503164501379,0.087,0.9107403585165551,0.6185675181165123,1.098007780866145,1.6166383955059886,0.38739191192038963,38.739191192038966,-26.16437316523399,-6.122767932179485,True,2024-04-24,2024-05-14,True
2024-05-10,범죄도시4,20228797,1,2035.0,10137.0,161651.0,40.98690835850957,2024-04-24,11.2,57.83,62.77404423969969,4.944044239699693,69.59376264648395,1438960.0,161651.0,9121804.0,2292285.0,232278.0,0.40986908358509566,0.6277404423969969,0.6959376264648395,0.11199999999999999,0.9020067582575404,0.5889451410568376,1.1086391436043772,1.6979510149375567,0.363963746223565,36.3963746223565,-28.606854287974386,-6.819718406784261,True,2024-04-24,2024-05-14,True
2024-05-11,범죄도시4,20228797,1,2071.0,10791.0,328231.0,37.7712930877257,2024-04-24,20.9,57.77,62.654822870177206,4.884822870177203,63.40361416691618,1568972.0,328231.0,9450035.0,2504152.0,517685.0,0.37771293087725705,0.6265482287017721,0.6340361416691618,0.209,0.9881900849568653,0.5957277606965606,1.0119510559991605,1.6786191041873555,0.29877092832391033,29.877092832391032,-25.632321079190476,-0.7487912967389718,True,2024-04-24,2024-05-14,True
2024-05-12,범죄도시4,20228797,1,2042.0,10391.0,287421.0,37.61282004052312,2024-04-24,19.0,57.51,62.359132010069565,4.849132010069567,61.23287671232877,1510804.0,287421.0,9737456.0,2422747.0,469390.0,0.3761282004052312,0.6235913201006956,0.6123287671232877,0.19,1.0183929836096373,0.6142585823172679,0.9819392082372325,1.627978881837575,0.3046638423282373,30.466384232823728,-23.62005667180565,1.1262552977407978,True,2024-04-24,2024-05-14,True
2024-05-13,범죄도시4,20228797,1,1921.0,9001.0,87129.0,42.81256964564297,2024-04-24,6.8,57.54,62.79340702727881,5.253407027278811,68.65795134866788,1291418.0,87129.0,9824585.0,2056614.0,126903.0,0.42812569645642967,0.6279340702727881,0.6865795134866788,0.068,0.9145831734534728,0.6235631679166557,1.0933942685868498,1.6036867657546734,0.39901314909739244,39.90131490973924,-25.845381703024913,-5.864544321389069,True,2024-04-24,2024-05-14,True
2024-05-14,범죄도시4,20228797,1,1968.0,9482.0,111645.0,42.02434336963485,2024-04-24,8.2,57.23,62.62249346440989,5.392493464409895,64.35241224278056,1362048.0,111645.0,9936230.0,2175014.0,173490.0,0.4202434336963485,0.6262249346440989,0.6435241224278055,0.08199999999999999,0.9731180430059988,0.6530344691833894,1.0276245592065705,1.5313127364478727,0.38578347213324793,38.57834721332479,-22.32806887314571,-1.729918778370667,True,2024-04-24,2024-05-14,True
2024-05-15,범죄도시4,20228797,1,1353.0,5839.0,234168.0,20.93131188118812,,,,,,,,,,,,0.2093131188118812,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-16,범죄도시4,20228797,1,1296.0,5375.0,70542.0,23.907028223574983,,,,,,,,,,,,0.23907028223574983,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-17,범죄도시4,20228797,1,1319.0,5701.0,91040.0,22.643776824034333,,,,,,,,,,,,0.22643776824034334,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-18,범죄도시4,20228797,1,1334.0,5713.0,180564.0,21.114276669832226,,,,,,,,,,,,0.21114276669832224,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-19,범죄도시4,20228797,1,1285.0,5437.0,147129.0,20.796245347143557,,,,,,,,,,,,0.20796245347143558,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-20,범죄도시4,20228797,1,1207.0,5057.0,51462.0,23.75984251968504,,,,,,,,,,,,0.2375984251968504,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-21,범죄도시4,20228797,1,1215.0,5041.0,43758.0,23.4420219949836,,,,,,,,,,,,0.23442021994983603,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-22,범죄도시4,20228797,3,930.0,3117.0,38060.0,16.28721541155867,,,,,,,,,,,,0.1628721541155867,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-23,범죄도시4,20228797,2,954.0,3125.0,33743.0,17.266968325791858,,,,,,,,,,,,0.17266968325791857,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-24,범죄도시4,20228797,2,998.0,3386.0,48678.0,16.92099016615802,,,,,,,,,,,,0.1692099016615802,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-25,범죄도시4,20228797,2,1041.0,3616.0,91055.0,15.99324012905208,,,,,,,,,,,,0.1599324012905208,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-26,범죄도시4,20228797,3,1024.0,3440.0,79337.0,15.574144486692015,,,,,,,,,,,,0.15574144486692015,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
